Sightline,Column 2,Column 3 (b),Column 4
HD 23180,2.65495732,2.345971328,-13.171
HD 24398,1.99345115,2.274866169,12.371
HD 144470,2.617297703,2.410392449,-8.584
HD 147165,1.629416886,1.911886488,14.774
HD 147683,5.234983408,4.512323592,-16.015
HD 149757,1.733470202,0.994755546,-74.261
HD 166937,1.92199935,0.853842041,-125.1
HD 170740,3.55686875,3.1166461,-14.125
HD 184915,2.667934735,2.895944852,7.873
HD 185418,4.79770209,4.537467728,-5.735
HD 185859,3.257407834,2.736679173,-19.028
HD 203532,2.913089497,2.877928652,-1.222
